"","score","text"
"323",3,"""Offering a multi-layered, proactive, cross-platform scanning, security, and support solution, Bitdefender protect "
"324",0,"Last day to register for Bitdefender_Ent's webinar! Outdated software is one of the key enablers of cyber breaches "
"325",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"326",0,"Bound to happen "
"327",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"328",0,".Frost_Sullivan recognizes Bitdefender for its #SmartHomes #Cybersecurity product "
"329",0,".Frost_Sullivan recognizes Bitdefender for its #SmartHomes #Cybersecurity product "
"330",0,"&gt;10% Off Bitdefender Business Security "
"331",0,"&gt;10% Off Bitdefender Business Security "
"332",-1,"From Pencils to Tablets: The Changing #Security Risks of 21st century schooling - #education #infosec "
"333",1,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini LOVING your live chat!!!"
"334",0,"RT Bitdefender_Ent: Who do you think could target your #organization with an Advanced Persistent Threat (#APT)? Comment below for addition"
"335",-3,"RT XenApp: The HVI #security solution for citrix #XenServer protects against zero-day exploits, attacks, and unknown threats. Yodabyte1"
"336",1,"RT Bitdefender: Here's how #Bitdefender Antivirus for #Mac can help you have a safe and hassle-free computing experience. (via macworld)"
"337",1,"Here's how #Bitdefender Antivirus for #Mac can help you have a safe and hassle-free computing experience. (via "
"338",-2,"When it Comes to Security and the Public Cloud, Organizations Still Have Lots to be Concerned About "
"339",0,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini "
"340",-1,"Internet Explorer bug can reveal the contents of your address bar "
"341",1,"RT actionfrauduk: 31 million users of an Android keyboard app have had their email addresses, phone numbers, and precise location exposed"
"342",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"343",0,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini "
"344",-1,"Have you looked XenServer HyperVisor Introspection yet? Prevent attacks b4 you read about them. Only yodabyte1 is "
"345",0,"piersant3 Telecom191Lucia Antivirus BitDefender !?"
"346",0,"BitDefender: 60% Off Bitdefender Family Pack 2018! "
"347",0,"Today's #MSSP &amp; #cybersecurity updates involve Atos Bitdefender Fortinet GemaltoSecurity menlosecurity "
"348",0,"Today's #MSSP &amp; #cybersecurity updates involve Atos Bitdefender Fortinet GemaltoSecurity menlosecurity "
"349",0,"Today's #MSSP &amp; #cybersecurity updates involve Atos Bitdefender Fortinet GemaltoSecurity menlosecurity "
"350",1,"For the past 18 months, a group of Russian hackers ran a silent operation of exploiting bank transfer systems to ul "
"351",0,"First ever crypto-mining Chrome extension discovered  #Chrome #google "
"352",-1,"RT XenDesktop: Hypervisor Introspection (HVI) #security solution for citrix #XenServer protects against zero-day exploits, attacks, and u"
"353",0," #Soldes
    
 Bitdefender Family Pack 2017  "
"354",-1,"RT SunnyHoi: Russian hackers go unreported for 18 months, steal $10 million "
"355",-1,"RT SunnyHoi: Russian hackers go unreported for 18 months, steal $10 million "
"356",-1,"RT SunnyHoi: Russian hackers go unreported for 18 months, steal $10 million "
"357",-1,"RT SunnyHoi: Russian hackers go unreported for 18 months, steal $10 million "
"358",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"359",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"360",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"361",-1,"RT hack3rsca: #netsec #news Russian hackers go unreported for 18 months, steal $10 million "
"362",-1,"HOTforSecurity | Russian hackers go unreported for 18 months, steal $10 million "
"363",-1,"#netsec #news Russian hackers go unreported for 18 months, steal $10 million "
"364",0,"Sign the petition with your Facebook account and help us persuade the biggest social media platform to implement th "
"365",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"366",-1,"Russian hackers go unreported for 18 months, steal $10 million - "
"367",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"368",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"369",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"370",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"371",0,"RT gcluley: ICYMI Satori botnet rears its head, exploiting IoT vulnerabilities - Bitdefender BOX Blog "
"372",0,"ICYMI Satori botnet rears its head, exploiting IoT vulnerabilities - Bitdefender BOX Blog "
"373",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"374",-1,"RT HeadLeaks: Indian government bans 42 Chinese apps for fear of cyberespionage "
"375",0," #Soldes
    
 Bitdefender Internet Security 2016 1 An 3 Postes  "
"376",0,"#Nonprofit Tech Products of the week: #Autodesk Architecture, Engineering &amp; Construction Collection, 1-Year Subscri "
"377",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"378",0,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini "
"379",1,"Bitdefender Antivirus Technical Support | Toll Free - 1-800-463-51631 | scoopit "
"380",0,"flipkartsupport hi I am not able to purchase following item can you check: 
"
"381",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"382",0,"andreviens To ensure full functionality of Bitdefender BOX, Google OnHub must be set up in Bridge Mode. Thus Bitde "
"383",-1,"RT HeadLeaks: Indian government bans 42 Chinese apps for fear of cyberespionage "
"384",0,"RT actionfrauduk: 31 million  Android keyboard app users have their personal details exposed through the apps dev "
"385",0,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini What do we do?!"
"386",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"387",0,"a story from the trenches - how #hypervisorintrospection protected a business from #WannaCry #EternalBlue "
"388",1,"Security Challenges in Smart Cities "
"389",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"390",0,"Are you looking for Antivirus? #BitDefender #Antivirus #Plus 2017 #deals #coupon on 2016 version "
"391",0,"AntiVirus Plus BitDefender 2018 #EnvioGratis #OnTec #MercadoLibre #FelizMartes "
"392",-2,"Fake WhatsApp app tricked over a million users "
"393",-2,"adrian3fer Hi! We are sorry about the issue you've experienced. Please write us at bitsybitdefender.com, so our t "
"394",2,"abigbluefan Hi! It refers to the fact that the new Bitdefender BOX is fully Gbps compatible. So, users who have gi "
"395",-2,"What Are The Steps To Disable All Modules In Bitdefender 2018?
This Video will giude you that how can you disable a "
"396",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"397",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"398",-1,"RT HeadLeaks: Chinese spies create fake LinkedIn profiles to spy on Germany "
"399",-3,"Cambodian computer users can now use Bitdefender and no longer have to worry about losing data due to computer viru "
"400",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"401",0,"#BitDefender #Antivirus Plus 2017 Review and #SAVE #Coupon on 2016 version "
"402",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"403",-1,"RT InfoSecHotSpot: Chinese spies create fake LinkedIn profiles to spy on Germany "
"404",-1,"RT HeadLeaks: Indian government bans 42 Chinese apps for fear of cyberespionage "
"405",0,"#Sonic #Gather #Battle fan made game reported to be #Malware "
"406",-1,"RT HeadLeaks: Indian government bans 42 Chinese apps for fear of cyberespionage "
"407",-1,"RT HeadLeaks: Indian government bans 42 Chinese apps for fear of cyberespionage "
"408",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"409",-1,"RT InfoSecHotSpot: Chinese spies create fake LinkedIn profiles to spy on Germany "
"410",-2,"Bitdefender this why bitdefender is trash. Have to uninstall to install a fucking program. Allowed access and stil "
"411",0,"Intense_XEnergy BitdefenderLabs Bitdefender It's from a vendor many PC makers use"
"412",0,"Are you a MAC user? Get #Bitdefender #Antivirus for #Mac 2017  "
"413",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"414",-1,"RT HeadLeaks: Chinese spies create fake LinkedIn profiles to spy on Germany "
"415",1,"BitDefender Free Antivirus How To Download And Install: "
"416",1,"BitDefender Free Antivirus How To Exclude Files Tutorial: "
"417",0,"BitDefender Free Antivirus How To Run An On Access Custom Scam: "
"418",1,"BitDefender Free Antivirus How To Run A Full System Scan: "
"419",0,"BitDefender Free Antivirus How To Update Virus Definitions: "
"420",1,"BitDefender Free Antivirus How To See Event Viewer: "
"421",1,"BitDefender Free Antivirus How To Disable Real Time Protection: "
"422",1,"BitDefender Free Antivirus How To Access Quarantined Files: "
"423",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"424",1,"Simple steps for effective #HybridIT security "
"425",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"426",0," #Soldes
    
 Bitdefender Antivirus for MAC  "
"427",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"428",-1,"pioneer_coin Might need to talk with Bitdefender this is no Malware "
"429",-1,"We need a #CyberMoonshot: a path to #cyberesilience to end the now $2B a year Ransomware epidemic. "
"430",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"431",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"432",0,"Bitdefender, the newest anti-virus solution finds Cambodian partner "
"433",0,"First ever crypto-mining Chrome extension discovered "
"434",1,"RT Bitdefender_Ent: Security and performance required to support data center transformation, survey shows "
"435",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"436",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"437",0,"Just to confirm, I did the vetting thing on Hybrid Analysis, so now they know that my twitter is active xD.

btw Bi "
"438",1,"Our hot selling product: Bitdefender Gravity Zone Corporate , see at "
"439",0,"#Bitdefender

Whether you need #ComputerProtection for a #SingleComputers, #BusinessComputers or "
"440",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"441",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"442",0," #Soldes
    
 Bitdefender Internet Security 2017 1 An 5 Postes  "
"443",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"444",0,"ambermac jeffmacarthur brittlestar michaeljosh gamerzookeeper Bitdefender scotiabank googlecanada sagomini "
"445",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"446",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push "
"447",0," #Soldes
    
 Bitdefender Antivirus Plus 2017 1 An 1 Poste  "
"448",1,"Security and performance required to support data center transformation, survey shows "
"449",4,"Jayalay Sounds like Avira. Avast is good for low usage but I also recommend BitDefender free!"
"450",0," #Soldes
    
 Bitdefender Antivirus Plus 2017 1 An 1 Poste  "
"451",1,"I'm a Toshiba guy. I use to be a huge HP fan. Using software such as BitdefenderLabs Bitdefender can be a good st "
"452",0,"Umm - changed his grades over 90 times in 21 months - not exactly discrete in his hacking! "
"453",-2,"RT AppProtect: For eight years, hackers have been able to exploit this password-stealing flaw in Joomla "
"454",-1,"RT AngeloPerniola: Researchers sucessfully tested their attack on products from Kaspersky, Bitdefender, ESET, Symantec, McAfee, Windows D"
"455",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"456",-1,"Chinese spies create fake #LinkedIn profiles to spy on Germany "
"457",-2,"For eight years, hackers have been able to exploit this password-stealing flaw in Joomla "
"458",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"459",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"460",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"461",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"462",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"463",0,"Find out how the Bitdefender and Citrix XenServer #HVI technology has reshaped the #security industry and how it "
"464",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"465",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"466",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"467",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"468",0,"Oops! This Android keyboard app accidentally leaked 31 million users&amp;#8217; personal details "
"469",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"470",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"471",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"472",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"473",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"474",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"475",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"476",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"477",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"478",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"479",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"480",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"481",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"482",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"483",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push "
"484",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"485",0,"Indian gov't bans Chinese apps. "
"486",1,"RT Bitdefender_Ent: CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push   "
"487",0,"Heads-up teenage hoodlums! Don't SWAT Brian Krebs or else... "
"488",-1,"We need a #CyberMoonshot: a path to #cyberesilience to end the now $2B a year Ransomware epidemic. "
"489",0,"Bitdefender Total Security Full 2016 "
"490",-1,"RT Bitdefender_Ent: Indian government bans 42 Chinese apps for fear of #cyberespionage "
"491",1,"How not to get hacked - useful tips from UrAvgConsumer in this video.
#cybersecurity #DoYourThing, Protected 
"
"492",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global - "
"493",1,"RT actionfrauduk: 31 million users of an Android keyboard app have had their email addresses, phone numbers, and precise location exposed"
"494",1,"I liked a YouTube video "
"495",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"496",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"497",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"498",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"499",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"500",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"501",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"502",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"503",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"504",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"505",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"506",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"507",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"508",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"509",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"510",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"511",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"512",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"513",0,"Vj2014Vijay Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB HP "
"514",-1,"RT teknomantik: clientsfh chhopsky Yikes. That's as bad as BitDefender's undisclosed SSL MITM."
"515",0,"Marcin_Pudelko Jacob_W_Klein donasarkar Microsoft intel ASUS BIOS_Mods Bitdefender kaspersky GIGABYTEMB "
"516",-1,"clientsfh chhopsky Yikes. That's as bad as BitDefender's undisclosed SSL MITM."
"517",2,"Bitdefender Box 2: Four of the key benefits that impressed "
"518",0,"Oops! This Android keyboard app accidentally leaked 31 million users personal details "
"519",-1,"RT startabuzz: ""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminated. Malw"
"520",-1,"Internet Explorer bug can reveal the contents of your address bar "
"521",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push - Bitdefender has t "
"522",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push "
"523",-1,"#ResearchSaturday: Waiting for #Terdot, a sneaky banking #Trojan with Bitdefender's Bogdan Botezatu. bbotezatu "
"524",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"525",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"526",-1,"RT InfoSecHotSpot: Indian government bans 42 Chinese apps for fear of cyberespionage "
"527",-1,"RT InfoSecHotSpot: Indian government bans 42 Chinese apps for fear of cyberespionage "
"528",-1,"RT InfoSecHotSpot: Indian government bans 42 Chinese apps for fear of cyberespionage "
"529",-1,"Microsoft is partnering with threat detection products from Bitdefender, Lookout, and ZiftenInc for integration "
"530",-1,"""Bitdefender Hypervisor Introspection running on Citrix XenServer allows for security blind spots to be eliminat "
"531",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"532",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"533",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"534",-1,"RT StopMalvertisin: HOTforSecurity | Over 90% of mobile cryptocurrency apps may be in trouble, researchers say "
"535",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push   "
"536",0,"usasubway At the moment, we do not have specific details about release date. It will be implemented via auto-updat "
"537",0,"Oops! This Android keyboard app accidentally leaked 31 million users&amp;#8217; personal details "
"538",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global - "
"539",0,"Balgan airbnb zomato twilio Bitdefender...."
"540",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"541",0,"Jennicide mir_btc vladimir_yanvar My Cybersecurity combo on Windows10:

Bitdefender TS2018
AppGuard
VPN.ac
Peerb "
"542",1,"RT familyfocusblog: The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"543",1,"The NEW BitdefenderBOX is the simple single security solution for all your Internet-connected devices! #ad "
"544",-1,"RT InfoSecHotSpot: Chinese spies create fake LinkedIn profiles to spy on Germany "
"545",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"546",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"547",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push "
"548",1,"FabulousErik OBSProject Are you using any kind of antivirus, like Bitdefender or Avast/AVG?"
"549",1,"brianjrobben Bitdefender Good point!"
"550",-1,"Why make it so easy for bad people to steal from
you by writing your passwords on a post-it note in front of your
c "
"551",1,"zorba_hernandez Please write us at bitsybitdefender.com, and our team will gladly help you with this, or any othe "
"552",0,"Are you looking for Antivirus? #BitDefender #Antivirus #Plus 2017 #deals #coupon on 2016 version "
"553",0,"Bitdefender Too bad service. I am trying to work in my pc. And Bitdefender send me to safe pay any time. Big error to buy this software."
"554",1,"Bitdefender rociogutie24 ambermac 1 year subscriptions have 5 devices protection (up from 3) now."
"555",1,"RT Bitdefender: rociogutie24 ambermac Hi! Using only Bitdefender Mobile Security will ensure all the protection you need. Also,having on"
"556",-1,"HOTforSecurity | Indian government bans 42 Chinese apps for fear of cyberespionage "
"557",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push "
"558",-1,"Indian government bans 42 Chinese apps for fear of #cyberespionage "
"559",-1,"RT SunnyHoi: Indian government bans 42 Chinese apps for fear of cyberespionage "
"560",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"561",-1,"RT SunnyHoi: Indian government bans 42 Chinese apps for fear of cyberespionage "
"562",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"563",-1,"RT hack3rsca: #netsec #news Indian government bans 42 Chinese apps for fear of cyberespionage "
"564",1,"CRN Exclusive: Ex-Fortinet Channel Chief Joe Sykora Lands At Bitdefender To Support Global Push   "
"565",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"566",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"567",-1,"#netsec #news Indian government bans 42 Chinese apps for fear of cyberespionage "
"568",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"569",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"570",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage - "
"571",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany #cyberespionage "
"572",-1,"Indian government bans 42 Chinese apps for fear of #cyberespionage "
"573",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"574",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"575",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"576",-1,"Uber Used $100K Bug Bounty to Pay, Silence Florida #Hacker ... "
"577",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"578",-3,"RT Bitdefender_Ent: From #ransomware and targeted attacks, to politically-motivated digital propaganda and fake news, and how to counter t"
"579",0,"Learn about #Terdot Banker #Trojan, a descendant of the #Zeus family of #malware on #ResearchSaturday with Bogdan B "
"580",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"581",-1,"RT SunnyHoi: Chinese spies create fake LinkedIn profiles to spy on Germany "
"582",1,"Bitdefender Thank you for the information"
"583",0,"Satori #botnet rears its head, exploiting #IoT #vulnerabilities

"
"584",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"585",-1,"RT hack3rsca: #netsec #news Chinese spies create fake LinkedIn profiles to spy on Germany "
"586",-1,"HOTforSecurity | Chinese spies create fake LinkedIn profiles to spy on Germany "
"587",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"588",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"589",-1,"#netsec #news Chinese spies create fake LinkedIn profiles to spy on Germany "
"590",1,"RT evanderburg: Learn the remedy for #security complacency "
"591",1,"Learn the remedy for #security complacency "
"592",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"593",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"594",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"595",0,"#BitDefender #Antivirus Plus 2017 Review and #SAVE #Coupon on 2016 version "
"596",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"597",-1,"RT BlackhawkCyber: Chinese spies create fake LinkedIn profiles to spy on Germany "
"598",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany
#cybersecurity #infosec  "
"599",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"600",0,"Predictions for 2018: zero-day exploits leaked from security agencies, next-level ransomware "
"601",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"602",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany "
"603",-1,"Chinese spies create fake LinkedIn profiles to spy on Germany - "
"604",0,"Oops! This #Android keyboard app accidentally #leaked 31 million users' personal details "
"605",1,"rociogutie24 ambermac Hi! Using only Bitdefender Mobile Security will ensure all the protection you need. Also,ha "
"606",4,"Nimhon You are very welcome. :) It was a pleasure to assist you and we thank you for the confirmation. Best regards!"
"607",0,"RT tsecrime: RT actionfrauduk: 31 million  Android keyboard app users have their personal details exposed through the apps developer htt"
"608",0,"cuicuiman You too! Kind regards :)"
"609",1,"Bitdefender BitdefenderFR That's indeed the minimum expected about you ;) have a nice day !"
"610",-1,"RT l_rsa: This Android keyboard app accidentally leaked 31 million users personal details
#mongodb #fail

"
"611",0,"MemoriasdeumEX Hi! Please write us at bitsybitdefender.com, so our tech team can help you. Thanks!"
"612",2,"cuicuiman Hi! The account is not hacked or anything like that, We have very good security measures in place to pre "
"613",0,"Are you a MAC user? Get #Bitdefender #Antivirus for #Mac 2017  "
"614",0,"RT actionfrauduk: 31 million  Android keyboard app users have their personal details exposed through the apps dev "
